Ticket,Type,Volume,OpenPrice,ClosePrice,Profit,Commission,Swap,OpenTime,CloseTime
6,1,11.8,25447.95,25528.29,948.01,0.0,0.0,2026.01.02 07:04,2026.01.02 10:21
7,1,5.9,25447.95,25607.18,939.46,0.0,0.0,2026.01.02 07:04,2026.01.02 16:50
8,1,5.9,25447.95,25447.75,-1.18,0.0,0.0,2026.01.02 07:04,2026.01.02 17:14
9,1,5.9,25447.95,25447.75,-1.18,0.0,0.0,2026.01.02 07:04,2026.01.02 17:14
14,1,12.1,25299.86,25374.63,904.72,0.0,0.0,2026.01.05 03:49,2026.01.05 10:19
15,1,6.1,25299.86,25449.62,913.54,0.0,0.0,2026.01.05 03:49,2026.01.05 16:04
16,1,6.1,25299.86,25499.57,1218.23,0.0,0.0,2026.01.05 03:49,2026.01.05 16:30
17,1,6.1,25299.86,25417.72,718.95,0.0,0.0,2026.01.05 03:49,2026.01.05 20:16
22,1,6.2,25630.77,25579.31,-319.05,0.0,0.0,2026.01.07 08:28,2026.01.07 11:06
23,1,12.4,25630.77,25579.31,-638.1,0.0,0.0,2026.01.07 08:28,2026.01.07 11:06
24,1,6.2,25630.77,25579.31,-319.05,0.0,0.0,2026.01.07 08:28,2026.01.07 11:06
25,1,6.2,25630.77,25579.31,-319.05,0.0,0.0,2026.01.07 08:28,2026.01.07 11:06
30,1,12.2,25607.8,25690.93,1014.19,0.0,0.0,2026.01.07 15:36,2026.01.07 16:41
31,1,6.1,25607.8,25771.23,996.92,0.0,0.0,2026.01.07 15:36,2026.01.07 18:43
32,1,6.1,25607.8,25824.72,1323.21,0.0,0.0,2026.01.07 15:36,2026.01.07 19:07
33,1,6.1,25607.8,25705.03,593.1,0.0,0.0,2026.01.07 15:36,2026.01.07 22:14
38,1,6.3,25630.09,25578.64,-324.14,0.0,0.0,2026.01.08 16:00,2026.01.08 16:31
39,1,12.6,25630.09,25578.64,-648.27,0.0,0.0,2026.01.08 16:00,2026.01.08 16:31
40,1,6.3,25630.09,25578.64,-324.14,0.0,0.0,2026.01.08 16:00,2026.01.08 16:31
41,1,6.3,25630.09,25578.64,-324.14,0.0,0.0,2026.01.08 16:00,2026.01.08 16:31
