symbol,exit_reason,entry_price,exit_price,profit_loss,stop_loss,take_profit,lots,duration,max_dd_during_trade,spread_at_entry
ES,MANUAL,4850.11720595197,4832.491856555425,17.62534939654506,SHORT,327.676576327114,1478.1405523209398,4.217456463861368,0.7454280773201489,1.2661881493511489,0.8115825566569901
CL,MANUAL,66.2075107543573,66.05982483239895,-0.14768592195835595,LONG,103.84712281982166,1334.7811578754483,3.865281891867397,1.4779988151078773,1.4793618620746645,0.5892788909407627
GOLD,MANUAL,1898.375917453417,1894.6633111639842,3.7126062894328697,SHORT,361.44570414363267,932.488809373657,3.5646181828169996,1.259239525885314,1.4554658499465325,0.21288631730820956
NQ,TP,13050.527337666981,13088.092952861269,37.5656151942876,LONG,223.21340514153184,1168.9596535581518,8.690432594297967,1.0200120852301424,1.0081202282870163,0.6030408661184127
NQ,MANUAL,14150.246509525019,14195.77636050979,-45.529850984770746,SHORT,113.58534436728785,1170.03181397011,7.0572154955728505,1.6155343665254307,0.9683235734260816,0.901375292134866
NQ,TP,14966.112453563463,14926.164643569078,39.94780999438444,SHORT,129.88969475552267,538.8315866604872,5.289870062603247,0.7015411795095472,1.4528221278009952,0.908793406204997
CL,TP,66.34898457769397,66.52487564781343,0.17589107011946226,LONG,180.6772531674249,883.7814153131293,6.5169632236366795,0.5736558563775196,1.3865811751680739,0.781000759227014
CL,TP,71.01339388938965,70.92292846956236,0.09046541982728229,SHORT,360.01104824526533,1246.194669870235,4.412191533718609,1.0024674021965092,1.1694849197233386,0.8739529216972979
NG,MANUAL,2.031523772448314,2.0081402235347987,0.02338354891351546,SHORT,308.0141588723932,522.7737198855722,8.964710257929763,0.9674589809766595,1.1550653159068278,0.4924883664694506
CL,SL,72.94361806608013,72.59959781792446,-0.34402024815567245,LONG,477.7821040981988,1274.2397498573664,2.057330088884591,1.2507407922143527,1.0608176540227128,0.9816326799309297
NQ,SL,12090.713576148177,12125.20006985704,-34.48649370886233,SHORT,351.7209640528375,1061.5115026607111,6.463622244496387,1.5140356622434235,1.8232406817835658,0.8598870561589945
NQ,TP,14667.297708209824,14652.18840083068,15.109307379143502,SHORT,117.84811198302845,1221.109383533069,9.568659303695206,0.9354801156619332,1.8028163486720827,0.6923656843138676
NG,SL,3.6767679094812755,3.684755624625868,-0.0079877151445924,SHORT,461.21405641198083,596.3239422206958,6.583066386745057,0.8392009267792966,1.5987029222483966,0.4372258433326649
ES,TP,4900.003400766147,4916.315303983599,16.3119032174518,LONG,177.08296128097544,1139.9537323893724,1.34655461560034,1.4412400958513807,0.8585308040529493,0.4649925514882818
GOLD,TP,1914.5934286020704,1911.9855031472434,2.6079254548269546,SHORT,345.1360079018988,541.3838860618222,9.657447316383049,1.3329245116286346,1.8632978054008604,0.2710005300850892
GOLD,MANUAL,1976.9068767385897,1977.3657652261488,-0.4588884875590793,SHORT,159.25627283900448,992.0880087854798,2.825472709742538,0.663512631862405,0.7739029844126131,0.2910094998002991
NQ,MANUAL,14960.468037385643,14945.655096493016,-14.812940892627012,LONG,473.96529441061665,828.8165149174408,7.4403186718939605,1.6518540745381853,1.6180982972864772,0.8682035938004828
CL,TP,79.58198389347231,79.95818758040357,0.3762036869312624,LONG,356.067732559093,620.1481977347158,9.333805197786404,0.8411600923278555,1.7416086696073254,0.18633500707381417
NG,TP,3.661937842486725,3.6336595923413886,0.028278250145336248,SHORT,238.73723823097998,1098.2206801951875,8.712116189064421,0.5587466439145123,1.8878735851971755,0.4552221815743672
NQ,TP,12115.687071920649,12106.181980781794,9.505091138855278,SHORT,314.26069347383986,1093.9560953607759,2.746982578247101,1.6596761563315017,1.1059677710667488,0.20591000480179628
NG,MANUAL,2.8698274924098715,2.878114457847423,0.008286965437551697,LONG,251.45256063107828,552.825525495868,5.29331541164687,1.696308510927988,1.9447390883553077,0.3025583548762353
